Description,License Requirements,Reporting Requirements,List Based License Exceptions,Special Conditions for STA,List of Items Controlled
CIV: N/A

",,"
List of Items Controlled


Related Controls:  (1) Equipment 'specially
designed' or prepared for the production of
heavy water is subject to the export licensing
authority of the Nuclear Regulatory
Commission (see 10 CFR part 110).  (2) See
ECCNs 1E001 ('development' and
'production') and 1E201 ('use') for
technology for items controlled by this entry.
Related Definitions:  The'internal
contactors' controlled by 1B229.b are
segmented trays that have an effective
assembled diameter of 1.8 m (6 ft.) or
greater, are designed to facilitate
countercurrent contacting, and are
constructed of stainless steels with a carbon
content of 0.03% or less.  These may be
sieve trays, valve trays, bubble cap trays, or
turbogrid trays.
Items:


a.  Water-hydrogen sulphide exchange tray
columns, having all of the following
characteristics:


a.1.  Can operate at pressures of 2 MPa or
greater;








a.2.  Constructed of carbon steel having an
austenitic ASTM (or equivalent standard) grain
size number of 5 or greater; and


a.3.  With a diameter of 1.8 m (6 ft.) or
greater;


b.  'Internal contactors' for the water-hydrogen
sulphide exchange tray columns controlled by
1B229.a.



"
"
1B230  Pumps capable of circulating
solutions of concentrated or dilute potassium
amide catalyst in liquid ammonia
(KNH2/NH3), having all of the following
characteristics (see List of Items Controlled).

","[[""NP applies to entire entry"",""NP Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: N/A
GBS: N/A
CIV: N/A

",,"
List of Items Controlled


Related Controls:  (1) Equipment 'specially
designed' or prepared for the production of
heavy water is subject to the export licensing
authority of the Nuclear Regulatory
Commission (see 10 CFR part 110).  (2) See
ECCNs 1E001 ('development' and
'production') and 1E201 ('use') for
technology for items controlled by this entry.
Related Definitions:  N/A
Items:


a.  Airtight (i.e., hermetically sealed);








b.  A capacity greater than 8.5 m3/h; and


c.  Either of the following characteristics:


c.1.  For concentrated potassium amide
solutions (1% or greater), an operating pressure
of 1.5 to 60 MPa (15-600 atmospheres); or


c.2.  For dilute potassium amide solutions
(less than 1%), an operating pressure of 20 to
60 MPa (200-600 atmospheres).



"
"
1B231  Tritium facilities or plants, and
equipment therefor, as follows (see List of
Items Controlled).

","[[""NP applies to entire entry"",""NP Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: N/A
GBS: N/A
CIV: N/A

",,"
List of Items Controlled


Related Controls:  (1) Tritium, tritium
compounds, and mixtures containing tritium
are subject to the export licensing authority
of the Nuclear Regulatory Commission (see
10 CFR part 110).  (2) See ECCNs 1E001
('development' and 'production') and
1E201 ('use') for technology for items
controlled by this entry.
Related Definitions: N/A
Items:


a.  Facilities or plant for the production,
recovery, extraction, concentration, or handling
of tritium;








b.  Equipment for tritium facilities or plant, as
follows:


b.1.  Hydrogen or helium refrigeration units
capable of cooling to 23 K (-250 C) or less, with
heat removal capacity greater than 150 watts; or


b.2.  Hydrogen isotope storage and
purification systems using metal hydrides as the
storage, or purification medium.



"
"
1B232    Turboexpanders or turboexpander-
compressor sets having both of the following
characteristics (see List of Items Controlled).

","[[""NP applies to 1B233.b"",""NP Column 1""],[""AT applies to 1B233.b"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: N/A
GBS: N/A
CIV: N/A",,"
List of Items Controlled


Related Controls:  (1) Equipment 'specially
designed' or prepared for the production of
heavy water is subject to the export licensing
authority of the Nuclear Regulatory
Commission (see 10 CFR part 110).  (2) See
ECCNs 1E001 ('development' and
'production') and 1E201 ('use') for
technology for items controlled by this entry.
Related Definitions:  N/A
Items:


a. Designed for operation with an outlet
temperature of 35 K (-238 C) or less; and










b.  Designed for a throughput of hydrogen gas of
1,000 kg/h or greater.



"
"
1B233  Lithium isotope separation facilities
or plants, and systems and equipment
therefor (see List of Items Controlled).

","[[""NP applies to entire entry"",""NP Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: N/A
GBS: N/A
CIV: N/A

",,"
List of Items Controlled


Related Controls:  (1) See ECCN 1E001
('development' and 'production') and
ECCN 1E201 ('use') for technology for
items described in this entry. (2) Facilities
and plants described in 1B233.a are subject
to the export licensing authority of the
Nuclear Regulatory Commission (see 10
CFR part 110).  (3) Certain lithium isotope
separation equipment and components for the
plasma separation process (PSP) that are
described in 1B233.b through .d are also
directly applicable to uranium isotope
separation and are subject to the export
licensing authority of the Nuclear Regulatory
Commission (see 10 CFR part 110).
Related Definitions:  N/A
Items:


a. Facilities or plants for the separation of lithium
isotopes;












b. Equipment for the separation of lithium
isotopes based on the lithium-mercury amalgam
process, as follows:


b.1. Packed liquid-liquid exchange columns
'specially designed' for lithium amalgams;


b.2. Mercury and/or lithium amalgam pumps;


b.3. Lithium amalgam electrolysis cells;


b.4. Evaporators for concentrated lithium
hydroxide solution.


c.  Ion exchange systems 'specially designed'
for lithium isotope separation, and 'specially
designed' component parts therefor;


d.  Chemical exchange systems (employing
crown ethers, cryptands, or lariat ethers)
'specially designed' for lithium isotope
separation, and 'specially designed' component
parts therefor.



"
"
1B234  High explosive containment vessels,
chambers, containers, and other similar
containment devices, not enumerated in
ECCN 1B608 or in USML Category IV or V
of the ITAR, designed for the testing of high
explosives or explosive devices and having
both of the characteristics described in this
ECCN (see List of Items Controlled).



",[],,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)








GBS:   N/A
CIV:   N/A

",,"
List of Items Controlled


Related Controls:  (1) Devices 'specially
designed' for the handling, control,
activation, monitoring, detection, protection,
discharge, or detonation of the articles
enumerated in USML Category IV(a) and (b)
are controlled by USML Category IV(c) of
the ITAR (see 22 CFR parts 120 through
130).  (2) See USML Category V of the
ITAR (22 CFR parts 120 through 130) for
devices identified therein that are 'specially
designed' to fully contain explosives
enumerated in USML Category V.  (3) Also
see ECCN 1B608 for ‘‘equipment’’
‘‘specially designed’’ for the
‘‘development,’’ ‘‘production,’’ repair,
overhaul, or refurbishing of items controlled
by ECCN 1C608 or USML Category V and
not elsewhere specified on the USML.


Related Definitions:  N/A
Items:


a. Designed to fully contain an explosion
equivalent to 2 kg of TNT or greater; and


b. Having design elements or features enabling
real time or delayed transfer of diagnostic or
measurement information.



"
"
1B607  Military test, inspection, and
production 'equipment' and related
commodities 'specially designed' for the
'development,' 'production,' repair,
overhaul, or refurbishing of commodities
identified in ECCN 1A607 or 1C607, or
defense articles enumerated or otherwise
described in USML Category XIV (see List of
Items Controlled).

","[[""NS applies to entire entry"",""NS Column 1""],[""RS applies to entire entry"",""RS Column 1""],[""AT applies to entire entry"",""AT Column 1""],[""UN applies to entire entry"",""See § 746.1(b) for\rUN controls""]]",,"
List Based License Exceptions (See Part 740
for a description of all license exceptions)


LVS:  $1500
GBS:  N/A
CIV:  N/A

","
Special Conditions for STA


STA:  Paragraph (c)(2) of License Exception
STA (§ 740.20(c)(2) of the EAR) may
not be used for any item in 1B607.

","
List of Items Controlled


Related Controls:  (1) See ECCN 2B350 for
controls on certain incinerators.  (2) See
ECCN 0A919 for 'military commodities'
located and produced outside the United
States that incorporate more than a de
minimis amount of US-origin '600 series'
controlled content.
Related Definitions: N/A
Items:


a.  'Equipment' 'specially designed' for the
destruction of the chemical agents controlled by
USML Category XIV(a).


Note to 1B607.a:  ECCN 1B607.a includes
controls over facilities 'specially designed' for
destruction operations.  This paragraph .a does
not control incinerators and 'specially
designed' handling facilities or 'specially
designed' waste supply systems therefor.


b. Test facilities and 'equipment' 'specially
designed' for military certification, qualification,
or testing of commodities controlled by ECCN
1A607.e, .f, .g, .h, or .j or by USML Category
XIV(f), except for XIV(f)(1).








c. Tooling and 'equipment' 'specially designed'
for the 'development,' 'production,' repair,
overhaul, or refurbishing of commodities
controlled by ECCN 1A607.e, .f .g, .h, or .j or
USML Category XIV(f).


d. through w. [Reserved]


x.  'Parts,' 'components,' 'accessories,' and
'attachments' that are 'specially designed' for a
commodity controlled by ECCN 1B607.b or .c,
or for a defense article controlled by USML
Category XIV(f), and that are not enumerated or
otherwise described elsewhere in the USML.



"
"
1B608  Test, inspection, and production
‘‘equipment’’ and related commodities
‘‘specially designed’’ for the ‘‘development,’’
‘‘production,’’ repair, overhaul, or
refurbishing of commodities enumerated in
ECCN 1C608 or USML Category V (see List
of Items Controlled).

","[[""NS applies to entire entry"",""NS Column 1""],[""RS applies to entire entry"",""RS Column 1""],[""MTappliestoequipment\r\u201Cspeciallydesigned\u201Dfor\rMT-controlled commodities\rinECCN1C608orMT\rarticles in USML Category\rV"",""MT Column 1""],[""AT applies to entire entry"",""AT Column 1""],[""UN applies to entire entry"",""See § 746.1(b) for\rUN controls""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS:  $1500
GBS:  N/A
CIV:  N/A







","
Special Conditions for STA


STA:  Paragraph (c)(2) of License
Exception STA (§ 740.20(c)(2) of
the EAR) may not be used for any
item in 1B608.

","
List of Items Controlled


Related Controls: (1) Defense articles that
are enumerated in USML Category V, and
technical data (including software) directly
related thereto, are 'subject to the ITAR.'
(2) See ECCN 0A919 for foreign-made
'military commodities' that incorporate
more than a de minimis amount of US-origin
'600 series' controlled content.  (3)  See
ECCN 1B115 for controls on 'production
equipment,' not controlled by this ECCN
1B608, for propellants or propellant
constituents described in ECCN 1C011.a,
1C011.b, or 1C111 or in USML Category V.


Related Definitions:  N/A
Items:


a.  'Equipment' 'specially designed' for the
'development,' 'production,' repair, overhaul,
or refurbishing of items controlled by ECCN
1C608 or USML Category V and not elsewhere
specified on the USML.


Note:  ECCN 1B608.a. includes: (1)
continuous nitrators; (2) dehydration presses;
(3) cutting machines for the sizing of extruded
propellants; (4) sweetie barrels (tumblers) 6 feet
or more in diameter and having over 500 pounds
product capacity; (5) convection current
converters for the conversion of materials listed
in USML Category V(c)(2); and (6) extrusion
presses for the extrusion of small arms, cannon
and rocket propellants.


b.  Complete installations 'specially designed'
for the 'development,' 'production,' repair,
overhaul, or refurbishing of items controlled by
ECCN 1C608 or USML Category V and not
elsewhere specified on the USML.










c.  Environmental test facilities 'specially
designed' for the certification, qualification, or
testing of items controlled by ECCN 1C608 or
USML Category V.


d. through w.  [Reserved]


x.  'Parts,' 'components,' 'accessories' and
'attachments' that are 'specially designed' for a
commodity subject to control in this ECCN or a
defense article in USML Category V and not
elsewhere specified on the USML.



"
"
1B613 Test, inspection, and 'production'
'equipment' and related commodities
'specially designed' for the 'development,'
'production,' repair, overhaul, or
refurbishing of commodities controlled by
ECCN 1A613 or USML Category X, as
follows (see List of Items Controlled).

","[[""NS applies to entire entry"",""NS Column 1""],[""RS applies to entire entry"",""RS Column 1""],[""AT applies to entire entry"",""AT Column 1""],[""UN applies to entire entry"",""See§746.1(b)for\rUN controls""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS:  $1500
GBS:  N/A
CIV:  N/A

","
Special Conditions for STA


STA: Paragraph (c)(2) of License
Exception STA (§ 740.20(c)(2) of
the EAR) may not be used for any
item in 1B613.

","
List of Items Controlled








Related Controls: See ECCN 0A919 for
foreign-made 'military commodities' that
incorporate more than a de minimis amount
of US-origin '600 series' controlled content.
Related Definitions: N/A
Items:


a. Test, inspection, and 'production'
'equipment,' not controlled by USML Category
X(c), that is 'specially designed' for the
'development,' 'production,' repair, overhaul,
or refurbishing of commodities controlled by
ECCN 1A613 or USML Category X.


b. Plasma pressure compaction (P2C)
'equipment' 'specially designed' for the
'production' of ceramic or composite body
armor plates controlled by ECCN 1A613 or
USML Category X.



"
"
1B999 Specific processing equipment, n.e.s.,
as follows (see List of Items Controlled).

","[[""NS applies to entire entry"",""NS Column 1""],[""MT applies to entire entry"",""MT Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: N/A






GBS: N/A
CIV: N/A

",,"
List of Items Controlled


Related Controls: See also 1B001, 1B101,
1B201, 1B225 and 1D999
Related Definitions: N/A
Items:


a. Electrolytic cells for fluorine production,
n.e.s.;


b.  Particle accelerators;


c. Industrial process control hardware/systems
designed for power industries, n.e.s.;


d. Freon and chilled water cooling systems
capable of continuous cooling duties of 100,000
BTU/hr (29.3 kW) or greater;


e. Equipment for the production of structural
composites, fibers, prepregs and preforms, n.e.s.




C.  'MATERIALS'


Technical Note:


Metals and alloys: Unless provision to the
contrary is made, the words 'metals' and
'alloys' in 1C001 to 1C011 cover crude and
semi-fabricated forms, as follows:


Crude forms:  Anodes, balls, bars (including
notched bars and wire bars), billets, blocks,
blooms, brickets, cakes, cathodes, crystals,
cubes, dice, grains, granules, ingots, lumps,
pellets, pigs, powder, rondelles, shot, slabs,
slugs, sponge, sticks;


Semi-fabricated forms (whether or not coated,
plated, drilled or punched):


a.  Wrought or worked materials fabricated
by rolling, drawing, extruding, forging, impact
extruding, pressing, graining, atomizing, and
grinding, i.e.: angles, channels, circles, discs,
dust, flakes, foils and leaf, forging, plate, powder,






pressings and stampings, ribbons, rings, rods
(including bare welding rods, wire rods, and
rolled wire), sections, shapes, sheets, strip, pipe
and tubes (including tube rounds, squares, and
hollows), drawn or extruded wire;


b.  Cast material produced by casting in
sand, die, metal, plaster or other types of molds,
including high pressure castings, sintered forms,
and forms made by powder metallurgy.


The object of the control should not be defeated
by the export of non-listed forms alleged to be
finished products but representing in reality
crude forms or semi-fabricated forms.



"
"
1C001  Materials 'specially designed' for use
as absorbers of electromagnetic waves, or
intrinsically conductive polymers, as follows
(see List of Items Controlled).

","[[""NS applies to entire entry"",""NS Column 2""],[""NP applies to 1C002.b.3\rorb.4iftheyexceedthe\rparameters stated in 1C202"",""NP Column 1""],[""AT applies to entire entry"",""AT Column 1""]]","
Reporting Requirements


See § 743.1 of the EAR for reporting
requirements for exports under License
Exceptions, and Validated End-User
authorizations.

","
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: N/A
GBS: N/A
CIV: N/A

","
Special Conditions for STA








STA: License Exception STA may not be
used to ship any item in this entry to
any of the destinations listed in
Country Group A:6 (See Supplement
No.1 to part 740 of the EAR).

","
List of Items Controlled


Related Controls:  See also 1C101
Related Definitions:  N/A
Items:


a.  Materials for absorbing frequencies
exceeding 2 x 108 Hz but less than 3 x 1012 Hz.


Note 1:  1C001.a does not control:


a.  Hair type absorbers, constructed of
natural or synthetic fibers, with non-magnetic
loading to provide absorption;


b.  Absorbers having no magnetic loss and
whose incident surface is non-planar in shape,
including pyramids, cones, wedges and
convoluted surfaces;


c.  Planar absorbers, having all of the
following:


1.  Made from any of the following:


a.  Plastic foam materials (flexible
or non-flexible) with carbon-loading, or organic
materials,  including binders, providing more
than 5% echo compared with metal over a
bandwidth exceeding ± 15% of the center
frequency of the incident energy, and not capable
of withstanding temperatures exceeding 450 K
(177 C); or


b.  Ceramic materials providing
more than 20% echo compared with metal over a
bandwidth exceeding ± 15% of the center
frequency of the incident energy, and not capable
of withstanding temperatures exceeding 800 K
(527 C);


Technical Note:  Absorption test
samples for 1C001.a. Note 1.c.1 should be a
square at least 5 wavelengths of the center






frequency on a side and positioned in the far field
of the radiating element.


2.  Tensile strength less than 7 x 106
N/m2; and


3.  Compressive strength less than 14 x
106 N/m2;


d.  Planar absorbers made of sintered
ferrite, having all of the following:


1.  A specific gravity exceeding 4.4; and


2.  A maximum operating temperature
of 548 K (275 C).


Note 2:  Nothing in Note 1 releases
magnetic materials to provide absorption when
contained in paint.


b.  Materials for absorbing frequencies
exceeding 1.5 x 1014 Hz but less than 3.7 x 1014
Hz and not transparent to visible light;


Note: 1C001.b does not apply to materials,
'specially designed' or formulated for any of the
following applications:


a. 'Laser' marking of polymers; or


b. 'Laser' welding of polymers.


c.  Intrinsically conductive polymeric materials
with a ‘bulk electrical conductivity’ exceeding
10,000 S/m (Siemens per meter) or a ‘sheet
(surface) resistivity’ of less than 100
ohms/square, based on any of the following
polymers:


c.1.  Polyaniline;


c.2.  Polypyrrole;


c.3.  Polythiophene;


c.4.  Poly phenylene-vinylene; or


c.5.  Poly thienylene-vinylene.








Note: 1C001.c does not apply to materials in
a liquid form.


Technical Note: ‘Bulk electrical
conductivity’ and ‘sheet (surface) resistivity’
should be determined using ASTM D-257 or
national equivalents.



"
"
1C002  Metal alloys, metal alloy powder and
alloyed materials, as follows (see List of Items
Controlled).

","[[""NS applies to entire entry"",""NS Column 2""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: $3000; N/A for NP
GBS: N/A
CIV: N/A

",,"
List of Items Controlled


Related Controls:  (1) See ECCNs 1E001
('development' and 'production') and
1E201 ('use') for technology for items
controlled by this entry.  (2) Also see ECCN
1C202.  (3) Aluminum alloys and titanium
alloys in physical forms and finished
products 'specially designed' or prepared for
use in separating uranium isotopes are
subject to the export licensing authority of
the Nuclear Regulatory Commission (see 10
CFR part 110).
Related Definition:  N/A
Items:










Note: 1C002 does not control metal alloys,
metal alloy powder and alloyed materials,
specially formulated for coating purposes.


Technical Note 1:  The metal alloys in
1C002 are those containing a higher percentage
by weight of the stated metal than of any other
element.


Technical Note 2: ‘Stress-rupture life’
should be measured in accordance with ASTM
standard E-139 or national equivalents.


Technical Note 3: ‘Low cycle fatigue life’
should be measured in accordance with ASTM
Standard E-606 ‘Recommended Practice for
Constant-Amplitude Low-Cycle Fatigue Testing’
or national equivalents. Testing should be axial
with an average stress ratio equal to 1 and a
stress-concentration factor (Kt) equal to 1.  The
average stress is defined as maximum stress
minus minimum stress divided by maximum
stress.


a. Aluminides, as follows:


a.1.  Nickel aluminides containing a
minimum of 15% by weight aluminum, a
maximum of 38% by weight aluminum and at
least one additional alloying element;


a.2.  Titanium aluminides containing 10%
by weight or more aluminum and at least one
additional alloying element;


b.  Metal alloys, as follows, made from the
powder or particulate material controlled by
1C002.c:


b.1.  Nickel alloys having any of the
following:


b.1.a.  A ‘stress-rupture life’ of 10,000
hours or longer at 923 K (650 C) at a stress of
676 MPa; or


b.1.b. A ‘low cycle fatigue life’ of 10,000
cycles or more at 823 K (550 C) at a maximum
stress of 1,095 MPa;








b.2.  Niobium alloys having any of the
following:


b.2.a.  A ‘stress-rupture life’ of 10,000
hours or longer at 1,073 K (800 C) at a stress of
400 MPa; or


b.2.b.  A ‘low cycle fatigue life’ of
10,000 cycles or more at 973 K (700 C) at a
maximum stress of 700 MPa;


b.3.  Titanium alloys having any of the
following:


b.3.a.  A ‘stress-rupture life’ of 10,000
hours  or longer at 723 K (450 C) at a stress of
200 MPa; or


b.3.b.  A ‘low cycle fatigue life’ of
10,000  cycles or more at 723 K (450 C) at a
maximum stress of 400 MPa;


b.4  Aluminum alloys having any of the
following:


b.4.a.  A tensile strength of 240 MPa or
more at 473 K (200 C); or


b.4.b.  A tensile strength of 415 MPa or
more at 298 K (25 C);


b.5.  Magnesium alloys having all the
following:


b.5.a. A tensile strength of 345 MPa or
more; and


b.5.b. A corrosion rate of less than 1
mm/year in 3% sodium chloride aqueous solution
measured in accordance with ASTM standard
G-31 or national equivalents;


c.  Metal alloy powder or particulate material,
having all of the following:


c.1.  Made from any of the following
composition systems:


Technical Note:  X in the following equals










c.1.a.  Nickel alloys (Ni-Al-X, Ni-X-Al)
qualified for turbine engine 'parts' or
'components,' i.e. with less than 3 non-metallic
particles (introduced during the manufacturing
process) larger than 100 μm in 109 alloy particles;


c.1.b.  Niobium alloys (Nb-Al-X or
Nb-X-Al, Nb-Si-X or Nb-X-Si, Nb-Ti-X or
Nb-X-Ti);


c.1.c.  Titanium alloys (Ti-Al-X or
Ti-X-Al);


c.1.d.  Aluminum alloys (Al-Mg-X or
Al-X-Mg, Al-Zn-X or Al-X-Zn, Al-Fe-X or
Al-X-Fe); or


c.1.e.  Magnesium alloys (Mg-Al-X or
Mg-X-Al);


c.2.  Made in a controlled environment by
any of the following processes:


c.2.a.  'Vacuum atomization';


c.2.b.  'Gas atomization';


c.2.c.  'Rotary atomization';


c.2.d.  'Splat quenching';


c.2.e.'Melt spinning' and
'comminution';


c.2.f. 'Melt extraction' and
'comminution';




c.2.g. 'Mechanical alloying'; or




c.2.h. 'Plasma atomization'; and


c.3. Capable of forming materials controlled
by 1C002.a or 1C002.b;


d.  Alloyed materials, having all the following:










d.1.  Made from any of the composition
systems specified by 1C002.c.1;


d.2.  In the form of uncomminuted flakes,
ribbons or thin rods; and


d.3.  Produced in a controlled environment
by any of the following:


d.3.a. 'Splat quenching';


d.3.b. 'Melt spinning'; or


d.3.c.  'Melt extraction'.



"
"
1C003    Magnetic metals, of all types and of
whatever form, having any of the following
(see List of Items Controlled).

","[[""NS applies to entire entry"",""NS Column 2""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: $3000
GBS: N/A
CIV: N/A

",,"
List of Items Controlled


Related Controls: N/A
Related Definitions: N/A
Items:


a.  Initial relative permeability of 120,000 or
more and a thickness of 0.05 mm or less;


Technical Note:  Measurement of initial
relative permeability must be performed on fully
annealed materials.








b.  Magnetostrictive alloys having any of the
following:


b.1.  A saturation magnetostriction of more
than 5 x 10-4; or


b.2.  A magnetomechanical coupling factor
(k) of more than 0.8; or


c.  Amorphous or ‘nanocrystalline’ alloy strips,
having all of the following:


c.1.   A composition having a minimum of
75% by weight of iron, cobalt or nickel;


c.2.   A saturation magnetic induction (Bs)
of 1.6 T or more; and


c.3.  Any of the following:


c.3.a.  A strip thickness of 0.02 mm or
less; or


c.3.b.  An electrical resistivity of 2 x
10-4 ohm cm or more.


Technical Note: ‘Nanocrystalline’ materials
in 1C003.c are those materials having a crystal
grain size of 50 nm or less, as determined by
X-ray diffraction.



"
"
1C004  Uranium titanium alloys or tungsten
alloys with a 'matrix' based on iron, nickel or
copper, having all of the following (see List of
Items Controlled).

","[[""NS applies to entire entry"",""NS Column 2""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)








LVS: $3000
GBS: N/A
CIV: N/A

",,"
List of Items Controlled


Related Controls: See also 1C117 and
1C226.
Related Definitions: N/A
Items:


a.  A density exceeding 17.5 g/cm3;


b.  An elastic limit exceeding 880 MPa;


c.  An ultimate tensile strength exceeding 1,270
MPa; and


d.  An elongation exceeding 8%.



"
"
1C005  'Superconductive' 'composite'
conductors in lengths exceeding 100 m or with
a mass exceeding 100 g, as follows (see List of
Items Controlled).

","[[""NS applies to entire entry"",""NS Column 2""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: $1500
GBS: N/A
CIV: N/A

",,"
List of Items Controlled


Related Controls: N/A
Related Definitions: N/A
Items:










a.   'Superconductive' 'composite' conductors
containing one or more niobium-titanium
‘filaments’, having all of the following:


a.1.  Embedded in a 'matrix' other than a
copper or copper-based mixed 'matrix'; and


a.2.  Having a cross-section area less than
0.28 x 10-4 mm2 (6 μm in diameter for circular
‘filaments’);


b.  'Superconductive' 'composite' conductors
consisting of one or more 'superconductive'
‘filaments’ other than niobium-titanium, having
all of the following:


b.1.  A 'critical temperature' at zero
magnetic induction exceeding 9.85 K (-263.31
oC); and


b.2.  Remaining in the 'superconductive'
state at a temperature of 4.2 K (-268.96ºC) when
exposed to a magnetic field oriented in any
direction perpendicular to the longitudinal axis of
conductor and corresponding to a magnetic
induction of 12 T with critical current density
exceeding 1750 A/mm2 on overall cross-section
of the conductor.


c. 'Superconductive' 'composite' conductors
consisting of one or more 'superconductive'
‘filaments’ which remain 'superconductive'
above 115 K (-158.16ºC).


Technical Note: For the purpose of 1C005,
‘filaments’ may be in wire, cylinder, film, tape or
ribbon form.



"
"
1C006  Fluids and lubricating materials, as
follows (see List of Items Controlled).

",[],,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: $3000
GBS: Yes for 1C006.d
CIV: Yes for 1C006.d

",,"
List of Items Controlled


Related Controls: See also 1C996.
Related Definitions: N/A
Items:


a.  [Reserved]


b.  Lubricating materials containing, as their
principal ingredients, any of the following:


b.1.  Phenylene or alkylphenylene ethers or
thio-ethers, or their mixtures, containing more
than two ether or thio-ether functions or mixtures
thereof; or


b.2.  Fluorinated silicone fluids with a
kinematic viscosity of less than 5,000 mm2/s
(5,000 centistokes) measured at 298 K (25 C);


c. Damping or flotation fluids having all of the
following:


c.1. Purity exceeding 99.8%;


c.2. Containing less than 25 particles of 200
μm or larger in size per 100 ml; and


c.3. Made from at least 85% of any of the
following:


c.3.a.Dibromotetrafluoroethane (CAS
25497- 30-7, 124-73-2, 27336-23- 8);


c.3.b.Polychlorotrifluoroethylene (oily
and waxy modifications only); or


c.3.c.Polybromotrifluoroethylene;


d.  Fluorocarbon electronic cooling fluids
having all of the following:








d.1.  Containing 85% by weight or more of
any of the following, or mixtures thereof:


d.1.a. Monomeric forms of
perfluoropolyalkylether- triazines or
perfluoroaliphatic-ethers;


d.1.b.  Perfluoroalkylamines;


d.1.c.  Perfluorocycloalkanes; or


d.1.d.   Perfluoroalkanes;


d.2.  Density at 298 K (25 C) of 1.5 g/ml or
more;


d.3.  In a liquid state at 273 K (0 C); and


d.4.  Containing 60% or more by weight of
fluorine.


Note: 1C006.d does not apply to materials
specified and packaged as medical products.



"
